個人
"仕訳日記帳"
00000125,"マジック                          "
"自27年 1月 1日","至27年12月31日","月分",
"日付","決修","伝票番号","部門コード","借方コード","借方名称","借方枝番","借方枝番摘要","貸方コード","貸方名称","貸方枝番","貸方枝番摘要","金額","摘要","税区分","対価","仕入区分","売上業種区分","消費税科目","売仕区分","ダミー3"
H27.1.10,0,,"",196,"店　主　勘　定",,,101,"現　　　　　金",,,15000,"原悦子　川崎市　市民税・県民税　第４期分",,,,,,,
H27.1.11,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,730,"ひまわり交通㈱　タクシー代",11,,,,借,仕,
H27.1.11,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,4320,"事業用：㈱髙島屋　　従業員顔合せ食事代",11,,,,借,仕,
H27.1.12,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,390,"共　通：ドトールコーヒー　従業員早朝出勤食事代",11,,,,借,仕,
H27.1.12,0,,"",613,"材　料　仕入高",,,101,"現　　　　　金",,,3040,"西小野和美　洋服修理代",11,,,,借,仕,
H27.1.1,0,,"",729,"地　代　家　賃",2,"駐車場：宮田千鶴子",314,"未　　払　　金",6,"駐車場：宮田千鶴子",16000,"１月分駐車場：宮田千鶴子",11,,,,借,仕,
H27.1.13,0,,"",314,"未　　払　　金",6,"駐車場：宮田千鶴子",101,"現　　　　　金",,,16000,"１月分駐車場：宮田千鶴子",,,,,,,
H27.1.14,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,5000,"ＪＲ東日本　スイカチャージ代",11,,,,借,仕,
H27.1.16,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,981,"共　通：ＬＡＷＳＯＮ　従業員早朝出勤食事代　",11,,,,借,仕,
H27.1.19,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,3672,"事業用：アクアステーション　従業員飲物代",11,,,,借,仕,
H27.1.1,0,,"",729,"地　代　家　賃",3,"駐車場：大久保駐車場",314,"未　　払　　金",7,"駐車場：大久保駐車場",25000,"１月分駐車場：大久保駐車場",11,,,,借,仕,
H27.1.19,0,,"",314,"未　　払　　金",7,"駐車場：大久保駐車場",101,"現　　　　　金",,,25000,"１月分駐車場：大久保駐車場",,,,,,,
H27.1.20,0,,"",718,"運　　　　　賃",,,101,"現　　　　　金",,,3660,"ヤマト運輸㈱　商品送付代",11,,,,借,仕,
H27.1.21,0,,"",827,"新　聞　図書費",,,101,"現　　　　　金",,,270,"福家書店　書籍代",11,,,,借,仕,
H27.1.21,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,205,"事業用：サンマルクカフェ　従業員飲物代",11,,,,借,仕,
H27.1.21,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,518,"事業用：サンマルクカフェ　従業員飲物代",11,,,,借,仕,
H27.1.21,0,,"",829,"車　　両　　費",,,101,"現　　　　　金",,,3634,"セルフ反町ＳＳ　ガソリン代",11,,,,借,仕,
H27.1.22,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,540,"共　通：神戸屋　従業員早朝出勤食事代",11,,,,借,仕,
H27.1.22,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,6480,"事業用：カゴメ健康直送便　従業員飲物代",11,,,,借,仕,
H27.1.23,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,437,"事業用：㈱髙島屋　従業員おやつ代",11,,,,借,仕,
H27.1.23,0,,"",722,"消　耗　品　費",,,101,"現　　　　　金",,,3240,"イオン東神奈川店　ビニール裁断用",11,,,,借,仕,
H27.1.23,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,520,"事業用：サーティーワン　従業員おやつ代",11,,,,借,仕,
H27.1.23,0,,"",189,"社　会　保険料",1,"国民健康保険料",101,"現　　　　　金",,,27100,"国民健康保険料",,,,,,,
H27.1.23,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,855,"事業用：㈱髙島屋　従業員おやつ代",11,,,,借,仕,
H27.1.24,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,664,"事業用：㈱髙島屋　従業員残業食事代",11,,,,借,仕,
H27.1.24,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,540,"共　通：神戸屋　従業員早朝出勤食事代",11,,,,借,仕,
H27.1.24,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,4384,"事業用：㈱髙島屋　従業員残業食事代",11,,,,借,仕,
H27.1.24,0,,"",724,"水　道　光熱費",1,"事業用：",101,"現　　　　　金",,,1308,"事業用：関東礦油㈱　灯油代",11,,,,借,仕,
H27.1.25,0,,"",826,"会　　議　　費",,,101,"現　　　　　金",,,2430,"デニーズ　打合せ喫茶代",11,,,,借,仕,
H27.1.25,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,322,"共　通：ガスト　従業員早朝出勤食事代",11,,,,借,仕,
H27.1.26,0,,"",722,"消　耗　品　費",,,101,"現　　　　　金",,,689,"㈱ビックカメラ　電池代",11,,,,借,仕,
H27.1.26,0,,"",826,"会　　議　　費",,,101,"現　　　　　金",,,626,"サンマルクカフェ　打合せ喫茶代",11,,,,借,仕,
H27.1.26,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,5000,"ＪＲ東日本　スイカチャージ代",11,,,,借,仕,
H27.1.27,0,,"",722,"消　耗　品　費",,,101,"現　　　　　金",,,3000,"イオン東神奈川店　作業用ジャンパー",11,,,,借,仕,
H27.1.27,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,411,"共　通：ヴィドフランス　従業員早朝出勤食事代",11,,,,借,仕,
H27.1.28,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,270,"事業用：ドトールコーヒー　従業員飲物代",11,,,,借,仕,
H27.1.28,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,540,"共　通：神戸屋　従業員早朝出勤食事代",11,,,,借,仕,
H27.1.28,0,,"",722,"消　耗　品　費",,,101,"現　　　　　金",,,432,"トップ　紙コップ代",11,,,,借,仕,
H27.1.28,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,730,"大村タクシー　タクシー代",11,,,,借,仕,
H27.1.29,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,560,"事業用：セブンイレブン　従業員おやつ代",11,,,,借,仕,
H27.1.29,0,,"",829,"車　　両　　費",,,101,"現　　　　　金",,,3440,"セルフ反町ＳＳ　ガソリン代",11,,,,借,仕,
H27.1.30,0,,"",613,"材　料　仕入高",,,101,"現　　　　　金",,,7040,"１２／３０西小野和美　洋服修理代",11,,,,借,仕,
H27.1.30,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,835,"共　通：ヴィドフランス　従業員早朝出勤食事代",11,,,,借,仕,
H27.1.30,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,255,"事業用：㈱髙島屋　従業員おやつ代",11,,,,借,仕,
H27.1.30,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,5790,"事業用：㈱髙島屋　従業員残業食事代",11,,,,借,仕,
H27.2.1,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,324,"事業用：イオン東神奈川店　従業員おやつ代",11,,,,借,仕,
H27.2.1,0,,"",531,"仕　　損　　費",,,101,"現　　　　　金",,,3984,"イオン東神奈川店　パンツ破損弁償代",11,,,,借,仕,
H27.2.2,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,6662,"事業用：㈱髙島屋　従業員残業食事代",11,,,,借,仕,
H27.2.2,0,,"",723,"通　　信　　費",1,"事業用：",101,"現　　　　　金",,,1020,"事業用：横浜西神奈川〒　レターパック代",11,,,,借,仕,
H27.2.2,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,543,"共　通：ヴィドフランス　従業員早朝出勤食事代",11,,,,借,仕,
H27.2.2,0,,"",723,"通　　信　　費",1,"事業用：",101,"現　　　　　金",,,1020,"事業用：川崎東大島〒　レターパック代",11,,,,借,仕,
H27.2.3,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,730,"㈱八重洲タクシー　タクシー代",11,,,,借,仕,
H27.2.3,0,,"",613,"材　料　仕入高",,,101,"現　　　　　金",,,111,"イオン東神奈川店　ファスナー仕入",11,,,,借,仕,
H27.2.4,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,720,"事業用：㈱髙島屋　従業員おやつ代",11,,,,借,仕,
H27.2.4,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,409,"共　通：ガスと　従業員早朝出勤食事代",11,,,,借,仕,
H27.2.4,0,,"",827,"新　聞　図書費",,,101,"現　　　　　金",,,810,"福家書店　書籍代",11,,,,借,仕,
H27.2.4,0,,"",827,"新　聞　図書費",,,101,"現　　　　　金",,,270,"福家書店　書籍代",11,,,,借,仕,
H27.2.4,0,,"",827,"新　聞　図書費",,,101,"現　　　　　金",,,530,"リブロ　書籍代",11,,,,借,仕,
H27.2.4,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,1296,"事業用：㈱髙島屋　従業員おやつ代",11,,,,借,仕,
H27.2.5,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,730,"京浜交通㈱　タクシー代",11,,,,借,仕,
H27.2.6,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,390,"共　通：ドトールコーヒー　従業員早朝出勤食事代",11,,,,借,仕,
H27.2.6,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,103,"事業用：ＫＩＯＳＫ　従業員おやつ代",11,,,,借,仕,
H27.2.6,0,,"",827,"新　聞　図書費",,,101,"現　　　　　金",,,1857,"リブロ　書籍代",11,,,,借,仕,
H27.2.6,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,220,"事業用：ドトールコーヒー　従業員飲物代",11,,,,借,仕,
H27.2.6,0,,"",722,"消　耗　品　費",,,101,"現　　　　　金",,,306,"イオン東神奈川店　ホッチキス",11,,,,借,仕,
H27.2.6,0,,"",613,"材　料　仕入高",,,101,"現　　　　　金",,,30000,"仲西シゲ子　洋服修理代",11,,,,借,仕,
H27.2.7,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,390,"共　通：ドトールコーヒー　従業員早朝出勤食事代",11,,,,借,仕,
H27.2.8,0,,"",722,"消　耗　品　費",,,101,"現　　　　　金",,,216,"ロフト　シール代",11,,,,借,仕,
H27.2.8,0,,"",726,"接　待　交際費",,,101,"現　　　　　金",,,1880,"ＴＡＭＥＡＬＳ　接待喫茶代",11,,,,借,仕,
H27.2.8,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,409,"共　通：ガスト　従業員早朝出勤食事代",11,,,,借,仕,
H27.2.8,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,5217,"事業用：㈱すかいらーく　従業員残業食事代",11,,,,借,仕,
H27.2.9,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,730,"芳賀タクシー　タクシー代",11,,,,借,仕,
H27.2.1,0,,"",729,"地　代　家　賃",2,"駐車場：宮田千鶴子",314,"未　　払　　金",6,"駐車場：宮田千鶴子",16000,"２月分駐車場：宮田千鶴子",11,,,,借,仕,
H27.2.9,0,,"",314,"未　　払　　金",6,"駐車場：宮田千鶴子",101,"現　　　　　金",,,16000,"２月分駐車場：宮田千鶴子",,,,,,,
H27.2.9,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,205,"事業用：サンマルクカフェ　従業員飲物代",11,,,,借,仕,
H27.2.9,0,,"",722,"消　耗　品　費",,,101,"現　　　　　金",,,432,"シルク　ポリ袋他",11,,,,借,仕,
H27.2.9,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,205,"事業用：サンマルクカフェ　従業員飲物代",11,,,,借,仕,
H27.2.10,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,2479,"事業用：㈱髙島屋　従業員おやつ代",11,,,,借,仕,
H27.2.10,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,6480,"事業用：カゴメ健康直送便　従業員飲物代",11,,,,借,仕,
H27.2.10,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,4104,"事業用：㈱髙島屋　従業員残業食事代",11,,,,借,仕,
H27.2.11,0,,"",722,"消　耗　品　費",,,101,"現　　　　　金",,,384,"イオン東神奈川店　消耗品代",11,,,,借,仕,
H27.2.12,0,,"",613,"材　料　仕入高",,,101,"現　　　　　金",,,854,"イオン東神奈川店　糸代",11,,,,借,仕,
H27.2.13,0,,"",613,"材　料　仕入高",,,101,"現　　　　　金",,,777,"イオン東神奈川店　ファスナー仕入",11,,,,借,仕,
H27.2.13,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,409,"共　通：ガスト　従業員早朝出勤食事代",11,,,,借,仕,
H27.2.15,0,,"",531,"仕　　損　　費",,,101,"現　　　　　金",,,17820,"イオン東神奈川店　パンツ破損弁償代",11,,,,借,仕,
H27.2.15,0,,"",613,"材　料　仕入高",,,101,"現　　　　　金",,,163,"イオン東神奈川店　ゴム代",11,,,,借,仕,
H27.2.15,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,324,"事業用：イオン東神奈川店　従業員おやつ代",11,,,,借,仕,
H27.2.18,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,324,"事業用：イオン東神奈川店　従業員おやつ代",11,,,,借,仕,
H27.2.19,0,,"",613,"材　料　仕入高",,,101,"現　　　　　金",,,4320,"㈲かけはぎ工芸織本　かけはぎ代",11,,,,借,仕,
H27.2.19,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,409,"共　通：ガスト　従業員早朝出勤食事代",11,,,,借,仕,
H27.2.19,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,390,"共　通：ドトールコーヒー　従業員早朝出勤食事代",11,,,,借,仕,
H27.2.1,0,,"",729,"地　代　家　賃",3,"駐車場：大久保駐車場",314,"未　　払　　金",7,"駐車場：大久保駐車場",25000,"２月分駐車場：大久保駐車場",11,,,,借,仕,
H27.2.19,0,,"",314,"未　　払　　金",7,"駐車場：大久保駐車場",101,"現　　　　　金",,,25000,"２月分駐車場：大久保駐車場",,,,,,,
H27.2.20,0,,"",718,"運　　　　　賃",,,101,"現　　　　　金",,,5755,"ヤマト運輸㈱　商品送付代",11,,,,借,仕,
H27.2.21,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,404,"事業用：イオン東神奈川店　水代",11,,,,借,仕,
H27.2.21,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,3243,"事業用：㈱髙島屋　従業員残業食事代",11,,,,借,仕,
H27.2.21,0,,"",189,"社　会　保険料",1,"国民健康保険料",101,"現　　　　　金",,,27100,"国民健康保険料",,,,,,,
H27.2.21,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,3672,"事業用：アクアステーション　従業員水代",11,,,,借,仕,
H27.2.22,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,1310,"事業用：銀のあん　従業員おやつ代",11,,,,借,仕,
H27.2.22,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,730,"神奈川都市交通㈱　タクシー代",11,,,,借,仕,
H27.2.24,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,835,"共　通：ヴィドフランス　従業員早朝出勤食事代",11,,,,借,仕,
H27.2.24,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,2160,"事業用：山本山　従業員飲物代",11,,,,借,仕,
H27.2.24,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,3047,"事業用：㈱髙島屋　従業員残業食事代",11,,,,借,仕,
H27.2.25,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,540,"共　通：神戸屋　従業員早朝出勤食事代",11,,,,借,仕,
H27.2.25,0,,"",827,"新　聞　図書費",,,101,"現　　　　　金",,,270,"福家書店　書籍代",11,,,,借,仕,
H27.2.25,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,730,"石川タクシー　タクシー代",11,,,,借,仕,
H27.2.26,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,540,"共　通：神戸屋　従業員早朝出勤食事代",11,,,,借,仕,
H27.2.26,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,540,"共　通：神戸屋　従業員早朝出勤食事代",11,,,,借,仕,
H27.2.27,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,540,"共　通：神戸屋　従業員早朝出勤食事代",11,,,,借,仕,
H27.2.27,0,,"",613,"材　料　仕入高",,,101,"現　　　　　金",,,40720,"仲西シゲ子　洋服修理代",11,,,,借,仕,
H27.1.2,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,302,"原　悦子　電車代：東神奈川→新城",11,,,,借,仕,
H27.1.24,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,310,"原　悦子　電車代：新城→東神奈川",11,,,,借,仕,
H27.1.3,0,,"",101,"現　　　　　金",,,121,"横浜　普通預金",,,8000,"現金引き出し",,,,,,,
H27.1.3,0,,"",733,"支　払　手数料",,,121,"横浜　普通預金",,,108,"横浜銀行　手数料",11,,,,借,仕,
H27.1.19,0,,"",121,"横浜　普通預金",,,166,"売　　掛　　金",,,656684,"リフォームＳ㈱",,,,,,,
H27.1.19,0,,"",101,"現　　　　　金",,,121,"横浜　普通預金",,,300000,"現金引き出し",,,,,,,
H27.1.19,0,,"",733,"支　払　手数料",,,121,"横浜　普通預金",,,108,"横浜銀行　手数料",11,,,,借,仕,
H27.1.19,0,,"",101,"現　　　　　金",,,121,"横浜　普通預金",,,200000,"現金引き出し",,,,,,,
H27.1.23,0,,"",101,"現　　　　　金",,,121,"横浜　普通預金",,,30000,"現金引き出し",,,,,,,
H27.1.23,0,,"",733,"支　払　手数料",,,121,"横浜　普通預金",,,108,"横浜銀行　手数料",11,,,,借,仕,
H27.1.26,0,,"",732,"保　　険　　料",,,121,"横浜　普通預金",,,2660,"ニッセイ同和損保　自動車保険",2,,,,借,仕,
H27.1.28,0,,"",733,"支　払　手数料",,,121,"横浜　普通預金",,,21600,"１月分さくら中央税理士法人",11,,,,借,仕,
H27.1.29,0,,"",101,"現　　　　　金",,,121,"横浜　普通預金",,,50000,"現金引き出し",,,,,,,
H27.2.2,0,,"",314,"未　　払　　金",8,"トヨタ　アクア",121,"横浜　普通預金",,,46294,"トヨタ　アクア",,,,,,,
H27.2.2,0,,"",101,"現　　　　　金",,,121,"横浜　普通預金",,,6000,"現金引き出し",,,,,,,
H27.2.2,0,,"",733,"支　払　手数料",,,121,"横浜　普通預金",,,108,"横浜銀行　手数料",11,,,,借,仕,
H27.2.19,0,,"",121,"横浜　普通預金",,,166,"売　　掛　　金",,,584791,"リフォームＳ㈱",,,,,,,
H27.2.19,0,,"",101,"現　　　　　金",,,121,"横浜　普通預金",,,500000,"現金引き出し",,,,,,,
H27.2.19,0,,"",733,"支　払　手数料",,,121,"横浜　普通預金",,,108,"横浜銀行　手数料",11,,,,借,仕,
H27.2.20,0,,"",101,"現　　　　　金",,,121,"横浜　普通預金",,,40000,"現金引き出し",,,,,,,
H27.2.20,0,,"",733,"支　払　手数料",,,121,"横浜　普通預金",,,108,"横浜銀行　手数料",11,,,,借,仕,
H27.2.21,0,,"",121,"横浜　普通預金",,,196,"店　主　勘　定",,,5,"預金利息",,,,,,,
H27.2.21,0,,"",121,"横浜　普通預金",,,196,"店　主　勘　定",,,30000,"現金預け入れ",,,,,,,
H27.2.21,0,,"",733,"支　払　手数料",,,121,"横浜　普通預金",,,108,"横浜銀行　手数料",11,,,,借,仕,
H27.2.26,0,,"",732,"保　　険　　料",,,121,"横浜　普通預金",,,2660,"ニッセイ同和損保　自動車保険",2,,,,借,仕,
H27.2.27,0,,"",121,"横浜　普通預金",,,215,"車　両　運搬具",,,9800,"トヨタカローラ横浜㈱　自動車税戻り分",4,,,,貸,仕,
H27.1.5,0,,"",723,"通　　信　　費",3,"ドコモ　携帯電話代",196,"店　主　勘　定",,,19739,"共　通：月分ドコモ　携帯電話代",11,,,,借,仕,
H27.2.2,0,,"",723,"通　　信　　費",3,"ドコモ　携帯電話代",196,"店　主　勘　定",,,19969,"共　通：１月分ドコモ　携帯電話代",11,,,,借,仕,
H27.1.31,0,,"",196,"店　主　勘　定",,,723,"通　　信　　費",3,"ドコモ　携帯電話代",1974,"共　通：月分ドコモ　携帯電話代１０％経費不算入",11,,,,貸,仕,
H27.2.28,0,,"",196,"店　主　勘　定",,,723,"通　　信　　費",3,"ドコモ　携帯電話代",1997,"共　通：１月分ドコモ　携帯電話代１０％経費不算入",11,,,,貸,仕,
H27.1.6,0,,"",723,"通　　信　　費",2,"共　通：",196,"店　主　勘　定",,,2120,"共　通：月分ＮＴＴ　自宅電話代",11,,,,借,仕,
H27.2.5,0,,"",723,"通　　信　　費",2,"共　通：",196,"店　主　勘　定",,,2172,"共　通：１月分ＮＴＴ　自宅電話代",11,,,,借,仕,
H27.1.31,0,,"",196,"店　主　勘　定",,,723,"通　　信　　費",2,"共　通：",636,"共　通：月分ＮＴＴ　自宅電話代３０％経費不算入",11,,,,貸,仕,
H27.2.28,0,,"",196,"店　主　勘　定",,,723,"通　　信　　費",2,"共　通：",652,"共　通：１月分ＮＴＴ　自宅電話代３０％経費不算入",11,,,,貸,仕,
H27.1.7,0,,"",831,"賃　　借　　料",2,"共　通：",196,"店　主　勘　定",,,14900,"共　通：１月分自宅家賃",2,,,,借,仕,
H27.2.9,0,,"",831,"賃　　借　　料",2,"共　通：",196,"店　主　勘　定",,,14900,"共　通：２月分自宅家賃",2,,,,借,仕,
H27.1.31,0,,"",196,"店　主　勘　定",,,831,"賃　　借　　料",2,"共　通：",13410,"共　通：１月分自宅家賃９０％経費不算入",2,,,,貸,仕,
H27.2.28,0,,"",196,"店　主　勘　定",,,831,"賃　　借　　料",2,"共　通：",13410,"共　通：２月分自宅家賃９０％経費不算入",2,,,,貸,仕,
H27.1.28,0,,"",724,"水　道　光熱費",2,"共　通：",196,"店　主　勘　定",,,4881,"共　通：１月分東京電力　自宅電気代",11,,,,借,仕,
H27.2.27,0,,"",724,"水　道　光熱費",2,"共　通：",196,"店　主　勘　定",,,5589,"共　通：２月分東京電力　自宅電気代",11,,,,借,仕,
H27.1.31,0,,"",196,"店　主　勘　定",,,724,"水　道　光熱費",2,"共　通：",4149,"共　通：１月分東京電力　自宅電気代８５％経費不算入",11,,,,貸,仕,
H27.2.28,0,,"",196,"店　主　勘　定",,,724,"水　道　光熱費",2,"共　通：",4751,"共　通：２月分東京電力　自宅電気代８５％経費不算入",11,,,,貸,仕,
H27.1.31,0,,"",196,"店　主　勘　定",,,716,"福　利　厚生費",2,"共　通：",2038,"共　通：食事代３０％自己否認",11,,,,貸,仕,
H27.2.28,0,,"",196,"店　主　勘　定",,,716,"福　利　厚生費",2,"共　通：",1903,"共　通：食事代３０％自己否認",11,,,,貸,仕,
H27.1.31,0,,"",734,"減　価　償却費",,,223,"減価償却累計額",,,27842,"減価償却費仮計上",4,,,,借貸,仕,
H27.2.28,0,,"",734,"減　価　償却費",,,223,"減価償却累計額",,,27842,"減価償却費仮計上",4,,,,借貸,仕,
H27.1.31,0,,"",721,"旅　費　交通費",,,196,"店　主　勘　定",,,12130,"１２／１〜１２／３１　通勤高速代",11,,,,借,仕,
H27.2.28,0,,"",721,"旅　費　交通費",,,196,"店　主　勘　定",,,14480,"１／１〜１／３１　通勤高速代",11,,,,借,仕,
H27.1.31,0,,"",743,"専従者　給　与",1,"原昭夫",101,"現　　　　　金",,,80000,"１月分原昭夫",2,,,,借,仕,
H27.2.28,0,,"",743,"専従者　給　与",1,"原昭夫",101,"現　　　　　金",,,80000,"２月分原昭夫",2,,,,借,仕,
